city,lat,lon,timestamp,pm2_5,pm10,no2,co,so2,o3,temp_day,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,road_count,industrial_count,dump_count,farmland_count
Delhi,28.66,77.23,2025-09-30 13:49:51+00:00,19.44,24.94,12.41,458.81,1.53,69.86,26.06,26.06,26.06,89,1003,3.09,160,75,160156.0,229.0,69.0,1134.0
Mumbai,18.9667,72.8333,2025-09-30 13:50:19+00:00,3.07,6.64,0.11,71.23,0.28,42.59,25.99,25.99,25.99,83,1006,2.06,180,75,39388.0,425.0,12.0,55.0
Kolkāta,22.5411,88.3378,2025-09-30 13:50:31+00:00,7.03,9.34,1.53,147.26,1.39,46.95,29.99,29.99,32.81,79,1003,1.54,80,40,32089.0,299.0,1.0,5.0
Bangalore,12.9699,77.598,2025-09-30 13:41:47+00:00,6.95,10.62,7.6,174.77,2.22,39.06,24.81,23.96,25.29,68,1009,5.81,261,40,145681.0,622.0,20.0,340.0
Chennai,13.0825,80.275,2025-09-30 13:51:11+00:00,24.56,34.13,25.88,368.62,9.42,31.59,30.33,29.47,31.14,75,1006,4.02,152,40,47550.0,191.0,5.0,26.0
Hyderābād,17.3667,78.4667,2025-09-30 13:51:17+00:00,4.64,7.02,8.75,144.72,7.35,45.65,27.23,24.73,27.23,69,1007,3.09,230,75,104924.0,106.0,8.0,61.0
Pune,18.5196,73.8553,2025-09-30 13:45:42+00:00,2.64,4.78,1.37,78.86,0.46,39.88,22.14,22.14,22.14,88,1008,2.36,232,84,45047.0,50.0,4.0,65.0
Ahmadābād,23.03,72.58,2025-09-30 13:51:33+00:00,6.18,8.28,2.3,116.46,1.1,62.93,25.0,25.0,25.0,73,1003,5.14,150,40,61010.0,297.0,1.0,22.0
Sūrat,21.17,72.83,2025-09-30 13:51:44+00:00,4.38,9.28,1.65,99.33,1.47,52.97,23.94,23.94,23.94,88,1004,8.23,220,100,137.0,0.0,,
Lucknow,26.847,80.947,2025-09-30 13:51:44+00:00,25.3,36.1,12.27,515.84,4.01,52.86,26.05,26.05,26.05,100,1002,3.09,250,100,55871.0,63.0,,
Jaipur,26.9167,75.8667,2025-09-30 13:51:51+00:00,9.02,12.9,8.1,194.85,2.03,51.19,24.68,24.68,24.68,94,1003,3.6,40,100,77649.0,40.0,3.0,13.0
Cawnpore,26.4725,80.3311,2025-09-30 13:52:01+00:00,14.26,18.29,7.24,358.85,2.11,44.49,30.6,30.6,30.6,62,1002,1.34,218,92,5.0,,,
Mirzāpur,25.15,82.58,2025-09-30 13:52:02+00:00,29.2,33.68,9.98,356.61,3.43,19.64,30.58,30.58,30.58,61,1002,1.45,344,83,32924.0,59.0,,
Nāgpur,21.1539,79.0831,2025-09-30 13:52:06+00:00,10.52,14.18,6.54,186.35,1.82,33.68,27.95,27.95,27.95,83,1004,1.03,0,75,26122.0,29.0,,
Ghāziābād,28.6667,77.4167,2025-09-30 13:52:07+00:00,21.35,27.67,15.4,493.51,1.82,64.07,29.63,29.63,29.63,61,1003,2.54,213,86,41668.0,184.0,0.0,45.0
Indore,22.7206,75.8472,2025-09-30 13:52:10+00:00,6.1,8.03,3.98,151.69,1.53,50.03,24.07,24.07,24.07,83,1005,0.0,0,40,50539.0,69.0,,
Vadodara,22.3,73.2,2025-09-30 13:52:13+00:00,5.83,8.42,4.76,117.85,8.15,57.16,28.98,28.98,28.98,70,1004,3.09,200,40,45749.0,139.0,,
Visakhapatnam,17.7333,83.3167,2025-09-30 13:52:20+00:00,13.13,14.83,9.76,249.25,4.8,30.46,27.89,27.89,27.89,89,1004,2.57,260,75,29308.0,149.0,2.0,65.0
Bhopāl,23.25,77.4167,2025-09-30 13:52:24+00:00,7.28,9.13,3.16,148.51,1.03,56.5,24.07,24.07,24.07,88,1005,2.06,250,40,48597.0,69.0,2.0,7.0
Chinchvad,18.6278,73.8131,2025-09-30 13:52:31+00:00,2.61,4.59,1.48,81.3,0.52,36.34,21.6,21.6,21.6,89,1008,2.83,244,84,,,,
Patna,25.61,85.1414,2025-09-30 13:52:31+00:00,46.84,60.78,10.89,448.07,5.89,45.02,31.95,31.95,31.95,70,1002,1.54,200,40,31882.0,86.0,,
Ludhiāna,30.9083,75.8486,2025-09-30 13:52:38+00:00,61.23,73.22,12.53,417.96,6.4,68.76,28.77,28.77,28.77,56,1002,1.81,78,0,65670.0,157.0,0.0,823.0
Āgra,27.18,78.02,2025-09-30 13:52:46+00:00,17.82,20.53,10.39,335.31,3.3,29.21,29.88,29.88,29.88,66,1002,1.51,269,100,25634.0,5.0,1.0,45.0
Kalyān,19.2502,73.1602,2025-09-30 13:52:47+00:00,3.12,6.33,0.28,72.29,0.59,42.8,24.93,24.93,24.93,88,1006,3.13,194,100,1957.0,6.0,,
Madurai,9.9197,78.1194,2025-09-30 13:52:48+00:00,2.94,5.65,6.26,146.2,2.22,36.82,32.97,32.97,32.97,46,1007,4.12,270,40,15088.0,40.0,0.0,61.0
Jamshedpur,22.8,86.1833,2025-09-30 13:52:49+00:00,23.04,28.05,5.5,208.49,2.6,21.57,28.58,28.58,28.58,76,1003,0.85,175,62,,,,
Nashik,20.0,73.7833,2025-09-30 13:52:49+00:00,4.86,8.07,5.68,125.05,5.71,31.95,21.39,21.39,21.39,94,1007,5.04,225,100,43166.0,114.0,0.0,109.0
