city,lat,lon,timestamp,pm2_5,pm10,no2,co,so2,o3,temp_day,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,clouds,road_count,industrial_count,dump_count,farmland_count
Nanjangud,12.12,76.68,2025-10-01 09:18:49+00:00,4.71,7.53,3.23,144.24,2.26,40.39,28.45,28.45,28.45,60,1008,6.67,275,100,,,,
Chittorgarh,24.879999,74.629997,2025-10-01 09:18:52+00:00,5.19,6.11,1.62,126.72,0.79,52.57,29.36,29.36,29.36,60,1003,3.36,213,70,17931.0,35.0,,73.0
Ratnagiri,16.994444,73.300003,2025-10-01 09:18:59+00:00,3.46,7.58,0.08,74.28,0.24,37.59,27.2,27.2,27.2,83,1005,6.7,226,72,5832.0,31.0,,78.0
Goregaon,19.155001,72.849998,2025-10-01 09:19:03+00:00,3.96,7.88,0.12,72.08,0.21,31.01,25.89,25.89,25.89,81,1003,8.06,205,77,35.0,,,
Pindwara,24.7945,73.055,2025-10-01 09:19:06+00:00,13.46,16.01,8.56,175.22,11.64,56.29,29.02,29.02,29.02,66,1003,5.12,179,87,3.0,,,
Raipur,21.25,81.629997,2025-10-01 09:19:11+00:00,9.48,9.8,3.33,171.99,3.64,50.07,30.24,30.24,30.24,76,1002,1.44,62,93,21773.0,61.0,,130.0
Gokak,16.1667,74.833298,2025-10-01 09:19:35+00:00,1.69,2.97,0.95,84.1,0.27,32.57,27.84,27.84,27.84,75,1007,8.66,254,70,,,,
Lucknow,26.85,80.949997,2025-10-01 09:19:37+00:00,16.63,18.32,1.47,292.03,0.76,80.24,31.89,31.89,31.89,54,1001,1.76,339,100,55871.0,63.0,,24.0
Delhi,28.679079,77.06971,2025-10-01 09:20:17+00:00,22.89,28.38,2.1,359.13,1.26,96.34,25.94,25.94,25.94,47,1003,1.59,174,40,160157.0,229.0,69.0,1134.0
Mumbai,19.07609,72.877426,2025-10-01 09:19:54+00:00,3.96,7.88,0.12,72.08,0.21,31.01,25.94,25.94,25.94,77,1004,7.97,206,69,39393.0,425.0,12.0,55.0
Sagar,14.16704,75.040298,2025-10-01 09:21:48+00:00,2.04,3.45,0.14,77.1,0.18,43.1,25.99,25.99,25.99,73,1007,5.86,261,88,21924.0,10.0,0.0,6.0
Jalpaiguri,26.540457,88.719391,2025-10-01 09:22:30+00:00,18.52,20.48,3.55,341.65,1.9,62.9,33.26,33.26,33.26,55,1000,2.95,177,77,40949.0,110.0,,181.0
Pakur,24.633568,87.849251,2025-10-01 09:23:02+00:00,111.51,117.26,31.98,701.61,49.68,58.84,33.76,33.76,33.76,55,1000,2.33,141,94,749.0,10.0,,0.0
Sardarshahar,28.440554,74.493011,2025-10-01 09:23:11+00:00,15.04,27.54,2.29,207.44,0.74,77.54,35.68,35.68,35.68,32,1001,4.89,73,0,1178.0,2.0,,1.0
Sirohi,24.882618,72.858894,2025-10-01 09:23:19+00:00,13.99,16.42,4.74,150.44,7.55,70.05,30.02,30.02,30.02,61,1002,3.41,175,79,3766.0,25.0,,23.0
Jaysingpur,16.779877,74.556374,2025-10-01 09:23:51+00:00,2.12,3.45,0.73,86.01,0.74,39.79,27.28,27.28,27.28,65,1005,8.46,255,70,,,,
